CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_TOTAL_CENSO_2020,tot_integ,hombres,mujeres,mayores,menores,p12_64,p65mas,ing_cor,transfer,gasto_mon,alimentos,ali_dentro,cereales,carnes,pescado,leche,huevo,aceites,tuberculo,verduras,frutas,azucar,cafe,especias,otros_alim,bebidas,ali_fuera,tabaco,vesti_calz,vestido,calzado,vivienda,alquiler,pred_cons,agua,energia,limpieza,cuidados,utensilios,enseres,salud,ambul_serv,aten_hosp,medic_prod,transporte,publico,foraneo,adqui_vehi,mantenim,refaccion,combus,comunica,educa_espa,educacion,esparci,paq_turist,personales,cuida_pers,acces_pers,pago_tarje,deudas,balance,hogares
29,Tlaxcala,060,Santa Isabel Xiloxoxtla,5443,15843.0,7929.0,7914.0,13768.0,2075.0,12946.0,822.0,192637619.54000002,15764698.090000002,156907155.23000002,72859069.75,56157727.42,7900054.79,16750391.03,0.0,4078702.71,2709971.77,948577.3800000002,923220.8,11229979.34,2077326.0499999998,749093.4400000001,187092.78999999998,436391.68,4902546.649999999,3264378.99,16701342.330000002,0.0,9709186.7,5221046.68,4488140.0200000005,5671483.239999999,0.0,89200.0,312935.0,5269348.239999999,6066559.06,4553141.92,906201.1799999999,607215.96,6445749.559999999,1953183.06,1745215.84,2747350.659999999,28370064.889999997,8953166.169999998,0.0,0.0,11719415.779999997,554081.47,11165334.309999999,7697482.940000001,13127046.299999997,10348997.979999999,2696657.92,81390.40000000001,12808517.08,10386349.46,251902.56000000003,0.0,470569.86,203070.4,3095.0
30,Veracruz de Ignacio de la Llave,001,Acajete,9701,50544.0,22464.0,28080.0,43056.0,7488.0,36192.0,6864.0,937935323.5200001,200752056.96000004,682958465.28,207930908.64000002,162361349.28000003,34802576.64,35569060.8,0.0,14192237.28,6466349.76,2984485.92,1331772.0,18114358.080000002,10346119.68,1123181.28,3321439.6799999997,553562.88,21634391.999999993,11921813.28,45569559.36,0.0,33985043.04,20918763.839999996,13066279.2,34278734.88,7004899.2,1710852.0,368160.0,25194823.680000003,93416618.88,71367678.71999998,8549717.280000001,13499222.880000003,29035150.560000002,12617641.92,7325217.119999999,9092291.520000003,166708888.32000002,56993701.440000005,2595403.1999999997,56159993.76,19031419.680000003,3022812.0,16008607.68,31928370.240000002,61594740.48,32848558.080000002,26609668.8,2136513.6,50186223.36000001,43973710.56,2248814.88,3021645.1199999996,0.0,5356553.280000001,14352.0
30,Veracruz de Ignacio de la Llave,002,Acatlán,3441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,003,Acayucan,80815,52348.0,26743.0,25605.0,40968.0,11380.0,36416.0,4552.0,554610354.16,176891425.56,337141074.83000004,123744088.67,110188130.25,19071730.62,39943634.99,3657850.64,11734265.09,6393824.550000001,3826075.49,1536271.55,10344243.610000001,1002242.29,929068.8900000001,1711864.9499999997,1316813.9400000002,1682606.9700000002,7037636.67,13555958.42,0.0,6701693.38,2646697.81,4054995.5700000003,30056565.81,2477898.27,546666.75,2616831.0,24415169.79,28446682.729999997,26288687.64,1241279.19,916715.9,17453614.110000003,2309997.75,7013539.52,8130076.839999999,76580065.59,13753384.350000001,0.0,32562868.56,16115013.16,292249.78,15822763.379999999,14148799.52,26424746.919999998,20358820.0,6065926.92,0.0,25420911.43,25031834.92,389076.51,0.0,0.0,28819.85,13656.0
30,Veracruz de Ignacio de la Llave,004,Actopan,41742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,005,Acula,5253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,006,Acultzingo,23100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,007,Camarón de Tejeda,6538,37807.0,20622.0,17185.0,31915.0,5892.0,29460.0,2455.0,386135779.75,88442155.69,326583253.90999997,172969111.74999997,166814112.51,28243243.08,39922296.74000001,2342060.18,15280111.489999998,6407441.9799999995,6461157.380000001,2651350.9,25906269.659999996,7215500.319999999,3440456.6399999997,3888685.63,1792822.67,13869291.73,9393424.11,5744665.63,410333.61000000004,7537635.6,3551928.37,3985707.2300000004,22086216.01,0.0,1064856.25,6044701.0,14976658.760000002,25503733.13,20909431.4,2233509.9000000004,2360791.83,5229739.2,2593751.69,0.0,2635987.5100000002,49621289.79000001,8206667.290000001,0.0,0.0,30402597.25,168113.49,30234483.759999998,11012025.25,15946825.660000002,15117212.42,829613.24,0.0,27609455.37,26886757.380000003,537959.24,0.0,3497726.88,360241.79000000004,11784.0
30,Veracruz de Ignacio de la Llave,008,Alpatláhuac,10338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,009,Alto Lucero de Gutiérrez Barrios,28184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,010,Altotonga,64234,170686.0,85476.0,85210.0,140984.0,29702.0,128486.0,12498.0,1810464479.2399998,234697411.05999997,1284439086.6,554958825.6799998,509682542.7,118212332.44,116984888.72,1672223.98,46268078.239999995,13099879.26,23049298.700000003,5595111.5,86074052.9,23335259.720000003,14861094.479999999,5438240.96,3737270.1199999996,26785705.080000002,24569106.600000005,45276282.98,0.0,92095378.55999999,51916176.300000004,40179202.26,70353220.02000001,15447464.8,2523361.0,1274185.0,51108209.22,92517444.18,76366835.06,6464634.300000001,9685974.819999998,63355403.75999998,11273392.3,0.0,52082011.45999999,215029118.4,88641167.76,2821460.2399999998,8286480.9,46318179.95999999,717946.26,45600233.7,68961829.53999999,67684741.60000001,55292987.44,9760234.76,2631519.4,88160497.96,83488653.46000001,4196670.1,0.0,0.0,8337536.0200000005,45830.0
